"group","series","occupation","median_wage","net_change","current_jobs","SOC","annualized_change","job_change_note"
"Installation, Maintenance, and Repair","None","First-Line Supervisors of Mechanics, Installers, and Repairers",96615.58,1160,12330,"49-1011",0.903188,"grow 0.9% each year over the next ten years. This means an additional 116 jobs per year, or 1,176 jobs over the next ten years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Security and Fire Alarm Systems Installers",77050.92,200,1950,"49-2098",0.981167,"grow 0.98% each year over the next ten years. This means an additional 20 jobs per year, or 230 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Automotive Body and Related Repairers",54064.43,310,2120,"49-3021",1.374107,"grow 1.37% each year over the next ten years. This means an additional 31 jobs per year, or 231 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Bus and Truck Mechanics and Diesel Engine Specialists",88983.2,470,5790,"49-3031",0.783533,"grow 0.78% each year over the next ten years. This means an additional 47 jobs per year, or 547 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Mobile Heavy Equipment Mechanics, Except Engines",73970.04,40,730,"49-3042",0.534885,"grow 0.53% each year over the next ten years. This means an additional 4 jobs per year, or 64 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Rail Car Repairers",92480,350,1110,"49-3043",2.778669,"grow 2.78% each year over the next ten years. This means an additional 35 jobs per year, or 135 jobs over the next ten years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Control and Valve Installers and Repairers, Except Mechanical Door",110237.21,10,2010,"49-9012",0.04964,"grow 0.05% each year over the next ten years. This means an additional 1 jobs per year, or 151 jobs over the next ten years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Home Appliance Repairers",64494.26,20,710,"49-9031",0.278182,"grow 0.28% each year over the next ten years. This means an additional 2 jobs per year, or 62 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Industrial Machinery Mechanics",71938.71,150,1550,"49-9041",0.928013,"grow 0.93% each year over the next ten years. This means an additional 15 jobs per year, or 145 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Maintenance Workers, Machinery",79876.1,30,880,"49-9043",0.335789,"grow 0.34% each year over the next ten years. This means an additional 3 jobs per year, or 83 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Electrical Power-Line Installers and Repairers",113180.48,70,880,"49-9051",0.768337,"grow 0.77% each year over the next ten years. This means an additional 7 jobs per year, or 77 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Telecommunications Line Installers and Repairers",110702.42,-200,3720,"49-9052",-0.551103,"decrease -0.55% each year over the next ten years. This means a reduction of -20 jobs per year, or 300 jobs over the next ten years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Maintenance and Repair Workers, General",60755.09,7860,67530,"49-9071",1.107111,"grow 1.11% each year over the next ten years. This means an additional 786 jobs per year, or 7,196 jobs over the next ten years."
"Installation, Maintenance, and Repair","Short-term on-the-job training","Coin, Vending, and Amusement Machine Servicers and Repairers",93423.78,120,980,"49-9091",1.161826,"grow 1.16% each year over the next ten years. This means an additional 12 jobs per year, or 122 jobs over the next ten years."
"Installation, Maintenance, and Repair","Long-term on-the-job training","Locksmiths and Safe Repairers",62749.45,0,640,"49-9094",0,"remain the same over the next 10-years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Riggers",106282.38,20,250,"49-9096",0.77258,"grow 0.77% each year over the next ten years. This means an additional 2 jobs per year, or 22 jobs over the next ten years."
"Installation, Maintenance, and Repair","Short-term on-the-job training","Helpers--Installation, Maintenance, and Repair Workers",51431.3,200,1840,"49-9098",1.037184,"grow 1.04% each year over the next ten years. This means an additional 20 jobs per year, or 240 jobs over the next ten years."
"Installation, Maintenance, and Repair","Moderate-term on-the-job training","Installation, Maintenance, and Repair Workers, All Other",58679.6,130,2250,"49-9099",0.563283,"grow 0.56% each year over the next ten years. This means an additional 13 jobs per year, or 233 jobs over the next ten years."
